CODLOC,sexo,tramo,personas,sexo_label,tramo_label
10831,2,45-49,1,mujeres,45-49
10831,2,50-54,2,mujeres,50-54
10831,2,55-59,0,mujeres,55-59
10831,2,60-64,0,mujeres,60-64
10831,2,65-69,2,mujeres,65-69
10831,2,70-74,0,mujeres,70-74
10831,2,75-79,0,mujeres,75-79
10831,2,80-84,0,mujeres,80-84
10831,2,85-89,0,mujeres,85-89
10831,2,90-94,0,mujeres,90-94
10831,2,+95,0,mujeres,+95
10832,1,0-4,67,varones,0-4
10832,1,5-9,77,varones,5-9
10832,1,10-14,72,varones,10-14
10832,1,15-19,44,varones,15-19
10832,1,20-24,69,varones,20-24
10832,1,25-29,75,varones,25-29
10832,1,30-34,99,varones,30-34
10832,1,35-39,71,varones,35-39
10832,1,40-44,64,varones,40-44
10832,1,45-49,54,varones,45-49
10832,1,50-54,40,varones,50-54
10832,1,55-59,40,varones,55-59
10832,1,60-64,26,varones,60-64
10832,1,65-69,17,varones,65-69
10832,1,70-74,11,varones,70-74
10832,1,75-79,8,varones,75-79
10832,1,80-84,4,varones,80-84
10832,1,85-89,1,varones,85-89
10832,1,90-94,1,varones,90-94
10832,1,+95,0,varones,+95
10832,2,0-4,75,mujeres,0-4
10832,2,5-9,90,mujeres,5-9
10832,2,10-14,68,mujeres,10-14
10832,2,15-19,62,mujeres,15-19
10832,2,20-24,64,mujeres,20-24
10832,2,25-29,72,mujeres,25-29
10832,2,30-34,92,mujeres,30-34
10832,2,35-39,79,mujeres,35-39
10832,2,40-44,61,mujeres,40-44
10832,2,45-49,48,mujeres,45-49
10832,2,50-54,38,mujeres,50-54
10832,2,55-59,29,mujeres,55-59
10832,2,60-64,32,mujeres,60-64
10832,2,65-69,18,mujeres,65-69
10832,2,70-74,11,mujeres,70-74
10832,2,75-79,13,mujeres,75-79
10832,2,80-84,6,mujeres,80-84
10832,2,85-89,4,mujeres,85-89
10832,2,90-94,0,mujeres,90-94
10832,2,+95,1,mujeres,+95
10833,1,0-4,180,varones,0-4
10833,1,5-9,158,varones,5-9
10833,1,10-14,189,varones,10-14
10833,1,15-19,151,varones,15-19
10833,1,20-24,148,varones,20-24
10833,1,25-29,167,varones,25-29
10833,1,30-34,134,varones,30-34
10833,1,35-39,128,varones,35-39
10833,1,40-44,116,varones,40-44
10833,1,45-49,75,varones,45-49
10833,1,50-54,85,varones,50-54
